TCP,document_id,estc_id,tcp_author,ecco_author,tcp_title,ecco_title,tcp_year,ecco_year,tcp_pages,ecco_pages,tcp_volume_number,tcp_total_volumes,ecco_volume_number,ecco_total_volumes,author_score,title_score,year_score,pages_score,match_score,volume_match_found,correct
K001204.000,99006000,N001855,"Francis, Philip, Sir, 1740-1818.","Francis, Philip, Sir","House of Commons, Tuesday, 11th December, 1787. Mr. Francis. Mr. Speaker, before I offer any thing to the consideration of the House","House of Commons, Tuesday, 11th December, 1787. Mr. Francis. Mr. Speaker, before I offer any thing to the consideration of the House ...",1787,1787,7,7,1,1,1,1,100,100,100,100,100,TRUE,Y
K001919.000,493500600,N002977,"Hales, Charles, surgeon.","Hales, Charles, surgeon","The cure of the miliary fever: To which is annexed, advice to the apothecaries. By Charles Hales, surgeon.","The cure of the miliary fever. To which is annex'd, advice to the apothecaries. By Charles Hales, surgeon.",1754,1754,89,89,1,1,1,1,100,100,100,100,100,TRUE,Y
K004747.000,307600400,N008053,"Smith, Hugh, 1736?-1789.","Smith, Hugh","The family physician: being a collection of useful family remedies. Together with plain and full directions for administering them, and properly nursing the sick, where the advice of a physician is difficult to be procured. ... By Hugh Smith, ...","The family physician: being a collection of useful family remedies. Together with plain and full directions for administering them, and properly nursing the sick, where the advice of a physician is difficult to be procured. To which is added, A Short Account of those Cases in which Bleeding and Blisters are really serviceable. By Hugh Smith, Apothecary, At the Chymical Warehouse, the upper End of Cheapside, leading into Newgate-Street, London: Where The Medicines herein recommended, are faithfully prepared in Boxes, convenient for Families to take into the Country, and for those who use the Sea to take on Shipboard.",1761,1761,39,39,1,1,1,1,100,100,100,100,100,TRUE,Y
K004797.000,648300600,N008120,"Governor, of Addenbrooke's Hospital.","Governor, of Addenbrooke's Hospital",Explanatory remarks on the great utility of hospitals for the sick and poor: By a governor of Addenbrooke's Hospital.,Explanatory remarks on the great utility of hospitals for the sick and poor. By a governor of Addenbrooke's Hospital.,1776,1776,17,17,1,1,1,1,100,100,100,100,100,TRUE,Y
K005366.000,492400100,N009211,"Thomson, Alexander, M.D.","Thomson, Alexander, M.D.","An enquiry into the nature, causes, and method of cure, of nervous disorders: In a letter to a friend. By Alex. Thomson, M.D.","An enquiry into the nature, causes, and method of cure, of nervous disorders. In a letter to a friend. By Alex. Thomson, M.D.",1781,1781,36,36,1,1,1,1,100,100,100,100,100,TRUE,Y
K005472.000,108801200,N009405,"Hazlitt, William, 1737-1820.","Hazlitt, William","Human authority, in matters of faith, repugnant to Christianity: illustrated in two discourses on Matthew. xxiii. 8. With a prefatory address, ... By the author of An essay on the justice of God.","Human authority, in matters of faith, repugnant to Christianity: illustrated in two discourses on Matth. xxiii. 8. With a prefatory address, Explaining The Particular Occasion Of Offering Them To The Public. By the author of An essay on the justice of God.",1774,1774,79,79,1,1,1,1,100,100,100,100,100,TRUE,Y
K005913.000,167000200,N010160,"Flower, Henry.","Flower, Henry","Observations on the gout and rheumatism: Exhibiting instances of persons who were greatly relieved in the fit of the gout; ... by medicines discovered in America. With a short account of some medicines, and ways of curing diseases, used by the native Indians. To which are added, a few remarkable cases ... By Henry Flower, an American.","Observations on the gout and rheumatism. Exhibiting instances of persons who were greatly relieved in the fit of the gout; and of others who were cured of the Gout in the Head, Stomach, and Bowels; of obstinate Rheumatisms; and of the Swellings, Stiffness, and Contractions of the Limbs, after irregular or long-continued Fits of the Gout: by medicines discovered in America. With a short account of some medicines, and ways of curing diseases, used by the native Indians. To which are added, a few remarkable cases of other Diseases. Humbly Inscribed to the College of Physicians By Henry Flower, an American. New Things do I declare: before they spring forth. I tell you of them. Isaiah.",1766,1766,33,33,1,1,1,1,100,100,100,100,100,TRUE,Y
K006014.000,149202200,N010277,"Lloyd, Robert, 1733-1764.","LLoyd, Robert","The new-river head: A tale. Attempted in the manner of Mr. C. Denis. And inscribed to John Wilkes, Esquire. By Robert Lloyd.","The new-River head. A tale. Attempted in the manner of Mr. C. Denis. And inscribed to John Wilkes, Esq. By Robert Lloyd.",1763,1763,21,21,1,1,1,1,100,100,100,100,100,TRUE,Y
K006075.000,129401900,N010350,"Surgeons Hospital (Edinburgh, Scotland)","Surgeons Hospital (Edinburgh, Scotland)",Memorial concerning the Surgeons Hospital,Memorial concerning the Surgeons Hospital.,1737,1737,14,14,1,1,1,1,100,100,100,100,100,TRUE,Y
K008041.000,1234602500,N013021,"Reed, Joseph, 1723-1787.","Reed, Joseph",The register-office: a farce of two acts. Acted at the Theater Royal in Drury Lane. By J. Reed.,The register-Office: a farce of two acts. Acted at the Theatre-Royal in Drury-Lane. By J. Reed.,1761,1761,42,42,1,1,1,1,100,100,100,100,100,TRUE,Y
