PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
1445201000_000029,"A plan for the conduct of female education, in boarding schools, private families, and public seminaries. By Erasmus Darwin, M.D. F.R.S. author of Zoonomia, and of The botanic garden. To which are added, Rudiments of taste, in a series of letters from a mother to her daughters. Embellished with an elegant frontispiece.",Erasmus Darwin,46,1798,1,1,"Philadelphia: : Printed by John Ormrod, no. 41, Chesnut-Street, 1798.",Philadelphia,303,female,1731,1802,True
0343200201_000032,"Religion considered as the only basis of happiness and of true philosophy. A work written for the instruction of the children of his most serene highness the Duke of Orleans; ... By Madame the Marchioness of Sillery, ... In two volumes.",Stéphanie Félicité du Crest de Saint-Aubin,42,1787,1,2,"Dublin : printed by William Porter, for H. Chamberlaine, White, Byrne, Colbert, W. Porter, and Moore, 1787.",Dublin,160,female,1746,1830,True
0954500400_000006,"The progress of a female mind, in some interesting enquiries. Containing, I. A Soliloquy. II. A Letter to a Jew, on the Evidences of Revelation. III. A Letter to a Christian Divine on the Gospel System; with some References to a late Free Enquirer. IV. A Remark on the Importance of the Hebrew Language. By a lady.",Lady,57,1764,1,1,"London : printed for A. and C. Corbett, opposite St. Dunstan's Church, Fleet-Street, MDCCLXIV. [1764].",London,94,female,,,False
0343200102_000018,"Religion considered as the only basis of happiness, and of true philosophy. A work written for the instruction of the children of his Most Serene Highness the Duke of Orleans; And in which the Principles of modern pretended Philosophers are laid open and refuted. By Madame the Marchioness of Sillery, heretofore countess of genlis. In two volumes. ...",Stéphanie Félicité du Crest de Saint-Aubin,50,1787,2,2,"London : printed for T. Payne and Son, at the Mews Gate; T. Cadell, and P. Elmsly, in the Strand, M.DCC.LXXXVII. [1787].",London,295,female,1746,1830,True
0290000100_000001,"The sequel to Mentoria; or, the young ladies instructor: in familiar conversations, on a variety of interesting subjects, in which are Introduced, Lectures on Astronomy and Natural Philosophy, Expressed in Terms suited to the Comprehension of Juvenile Readers; Being principally intended to enlarge the Ideas, and inspire just Conceptions of the Deity, from the Contemplation of the general System of the Universe. By Ann Murry.","Murry, Ann",49,1799,1,1,"London : printed for C. Dilly, in the Poultry, 1799.",London,342,female,,,False
0343200202_000047,"Religion considered as the only basis of happiness and of true philosophy. A work written for the instruction of the children of his most serene highness the Duke of Orleans; ... By Madame the Marchioness of Sillery, ... In two volumes.",Stéphanie Félicité du Crest de Saint-Aubin,42,1787,2,2,"Dublin : printed by William Porter, for H. Chamberlaine, White, Byrne, Colbert, W. Porter, and Moore, 1787.",Dublin,151,female,1746,1830,True
0164301100_000007,"Reflections upon the education of children in charity schools; with the outlines of a plan of appropriate instruction for the children of the poor; submitted to the consideration of the patrons of schools of every denomination, supported by charity. By Mrs. Trimmer.",Sarah Trimmer,46,1792,1,1,"London : printed for T. Longman, Paternoster-Row; and J. and F. Rivington, St. Paul's Church-Yard, M.DCC.XCII. [1792].",London,57,female,1741,1810,True
0191300102_000011,"Letters from the Duchess de Crui and others, on subjects moral and entertaining, wherein the character of the female sex, with their rank, importance, and consequence, is stated, and their relative duties in life are enforced. By a lady. ...",Mary Walker,51,1776,2,5,"London : printed for Robson, New Bond-Street; Walter, Charing-Cross; and Robinson, Pater-Noster Row, MDCCLXXVI. [1776].",London,243,female,1736,,False
0152701300_000014,"Letters on the works and character of J. J. Rousseau. To which are Added A Letter from the Countess Alexandre de Vassy to the Baroness de Stael, with the Baroness's Answer, and an Account of the last Moments of Rousseau. By Mademoiselle Necker, Baroness de Stael. Translated from the French.",Germaine de Staël,56,1789,1,1,"London : printed for G. G. J. and J. Robinson, Paternoster-Row, MDCCLXXXIX. [1789].",London,145,female,1766,1817,False
0420902800_000005,"Rudiments of taste. In a series of letters, from a mother to her daughters. By the author of The life of Jacob.","Peddle, , Mrs",45,1789,1,1,"[London] : Printed for C. Dilly, in the Poultry, 1789.",London,172,female,,,False
