PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
1253800102_000097,"The Family magazine; or, a Repository of religious instruction, and rational amusement. ... By Mrs. Trimmer.",Sarah Trimmer,49,1788,2,18,"London [England] : printed by and for J[ohn]. Marshall and Co. Aldermary Church Yard, in Bow Lane, [1788-1789].",London,467,female,1741,1810,True
0129900300_000012,Plans of education; with remarks on the systems of other writers. In a series of letters between Mrs. Darnford and her friends. By Clara Reeve.,Clara Reeve,30,1792,1,1,"London : printed for T. Hookham, and J. Carpenter, New and Old Bond-Street, 1792.",London,250,female,1729,1807,True
0442000200_000030,Extracts and original anecdotes; for the improvement of youth.,Mary Leadbeater,38,1794,1,1,"Dublin : printed by R. M. Jackson, NO. 20 Meath-Street, 1794.",Dublin,235,female,1758,1826,False
1253800102_000098,"The Family magazine; or, a Repository of religious instruction, and rational amusement. ... By Mrs. Trimmer.",Sarah Trimmer,39,1788,2,18,"London [England] : printed by and for J[ohn]. Marshall and Co. Aldermary Church Yard, in Bow Lane, [1788-1789].",London,467,female,1741,1810,True
0032700401_000022,"Translation of the letters of a Hindoo Rajah; written previous to, and during the period of his residence in England. To which is prefixed a preliminary dissertation on the history, religion, and manners, of the Hindoos. In two volumes. By Eliza Hamilton, ...",Elizabeth Hamilton,33,1796,1,2,"London : printed for G.G. and J. Robinson, No. 25, Paternoster Row, 1796.",London,341,female,1758,1816,False
0984900200_000039,"Geography and history. Selected by a lady, for the use of her own children.",Lady,41,1790,1,1,"London : printed for B. Law, No. 13, Ave-Maria Lane, Ludgate Street, MDCCXC. [1790].",London,377,female,,,False
0516700401_000014,"Translation of the letters of a Hindoo Rajah; written previous to, and during the period of his residence in England. To which is prefixed a preliminary dissertation on the History, Religion, and Manners, of the Hindoos. In two volumes. By Eliza Hamilton. ...",Elizabeth Hamilton,27,1797,1,2,"Dublin : printed for H. Colbert, No. 136, Capel-Street, 1797.",Dublin,183,female,1758,1816,False
0138900400_000040,"Geography and history. Selected by a lady, for the use of her own children.",Lady,34,1797,1,1,"London : printed for B. Law, No. 5, Stationers-Court; and C. Law, No. 13, Ave-Mary Lane, Ludgate Street, MDCCXCVII. [1797].",London,404,female,,,False
0273100301_000027,"Mental improvement: or the beauties and wonders of nature and art, Conveyed in a Series of Instructive Conversations. By Priscilla Wakefield, Author of Leisure Hours. ...",Priscilla Wakefield,32,1794,1,2,"London : printed and sold by Darton and Harvey, No. 55, Gracechurch-Street, M.DCC.XCIV. [1794].",London,210,female,1751,1832,False
1601700600_000027,"Mental imporvement: Or, the beauties and wonders of nature and art. In a series of instructive conversations. By Priscilla Wakefield, author of leisure hours, juvenile anecdotes, &c. &c. &c.",Priscilla Wakefield,27,1799,1,1,"Dublin : [P]rinted by T. Burnside, Lower Liffey-Street, for P. Wogan, H. Colbert, and J. Gough, 1799.",Dublin,307,female,1751,1832,False
0435002700_000085,"The world unmask'd; or, the philosopher the greatest cheat; in twenty-four dialogues. A new edition. Translated from the French.",Marie Huber,23,1786,1,1,"London : printed and sold by J. Phillips, George-Yard, Lombard-Street, M.DCC.LXXXVI. [1786].",London,369,female,1695,1753,False
0737000201_000005,"Slavery: or, the times. In two volumes. By the author of Monmouth, The Danish massacre, &c. ...","Mackenzie, Anna Maria",23,1792,1,2,"London : printed for G. G. J. and J. Robinsons; and J. Dennis, 1792.",London,222,female,,,False
1683700300_000021,"An easy introduction to the knowledge of nature, and reading the Holy Scriptures. Adapted to the capacities of children. By Mrs. Trimmer.",Sarah Trimmer,30,1796,1,1,"London : Printed for T. Longman, G.G. and J. Robinson, Pater-Noster-Row; J. Johnson, and J. and F. Rivington, St. Paul's Church-Yard, M.DCC.XCVI. [1796].",London,156,female,1741,1810,True
0389401000_000028,"Mental improvement: or, the beauties and wonders of nature and art. In a series of instructive conversations. By Priscilla Wakefield, Author Of Leisure Hours, Juvenile Anecdotes, &c. &c. &c.",Priscilla Wakefield,24,1800,1,1,"Dublin : printed for P. Wogan, No 23, Old Bridge, by T. Burnside, 1800.",Dublin,315,female,1751,1832,False
