PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0593000100_000129,"A journey made in the summer of 1794, through Holland and the western frontier of Germany, with a return down the Rhine: to which are added Observations during a tour to the lakes of Lancashire, Westmoreland, and Cumberland. By Ann Radcliffe.",Ann Radcliffe,23,1795,1,1,"London : printed for G. G. and J. Robinson, Paternoster-Row, MDCCXCV. [1795].",London,508,female,1764,1823,True
0129100101_000019,"Poems and plays. By Mrs. West, Author of ``a Tale of the Times,'' ``a Gossip's Story,'' &c. &c. ...",Jane West,17,1799,1,4,"London : printed by C. Whittingham; for T. N. Longman and O. Rees, Paternoster-Row, 1799.",London,224,female,1758,1852,False
0405901203_000021,"The romance of the forest: interspersed with some pieces of poetry. In three volumes. ... . The second edition. By Ann Radcliffe, Author of ``a Sicilian-Romance,'' &c.",Ann Radcliffe,15,1792,3,3,"London : printed for T. Hookham and J. Carpenter, New and Old Bond Street, M.DCC.XCII. [1792].",London,349,female,1764,1823,True
0463500601_000038,"A journey made in the summer of 1794, through Holland and the western frontier of Germany, with a return down the Rhine: to which are added Observations during a tour to the lakes of Lancashire, Westmoreland, and Cumberland. In two volumes. ... . Second edition. By Ann Radcliffe.",Ann Radcliffe,25,1795,1,2,"London : printed for G. G. and J. Robinson, Paternoster-Row, MDCCXCV. [1795].",London,482,female,1764,1823,True
0363500104_000028,"Tales of the castle: or, stories of instruction and delight. Being Les veillees du chateau, written in French by Madame la Comtesse de Genlis, Author of the Theatre of Education, Adela and Theodore, &c. Translated into English by Thomas Holcroft,",Stéphanie Félicité du Crest de Saint-Aubin,20,1793,4,5,"London : printed for G. G. J. and J. Robinson, No. 25, Pater-Noster-Row, 1793.",London,257,female,1746,1830,True
0545000203_000011,"The romance of the forest: interspersed with some pieces of poetry. In three volumes. ... The fifth edition. By Ann Radcliffe, ...",Ann Radcliffe,17,1796,3,3,"London : printed for Hookham and Carpenter, 1796.",London,313,female,1764,1823,True
0850800102_000003,"The mysteries of Udolpho, a romance; interspersed with some pieces of poetry. By Ann Radcliffe, Author of the romance of the Forest, etc. The third edition. In four volumes. ...",Ann Radcliffe,16,1795,2,4,"London : printed for G. G. and J. Robinson, Paternoster-Row, 1795.",London,481,female,1764,1823,True
0883300303_000072,"The mysteries of Udolpho, a romance; interspersed with some pieces of poetry. By Ann Radcliffe, ... In three volumes, ...",Ann Radcliffe,15,1795,3,3,"Dublin : printed by N. Kelly, for Messrs. P. Wogan, W. Jones. H. Colbert, and J. Milliken, 1795.",Dublin,358,female,1764,1823,True
0137000100_000026,"An essay on the writings and genius of Shakespear, compared with the Greek and French dramatic poets. With some remarks upon the misrepresentations of Mons. de Voltaire.",Elizabeth Montagu,14,1770,1,1,"London : printed by J. and H. Hughs, near Lincoln's-Inn-Fields: and sold by J. Dodsley, Pall-Mall; Mess. Baker and Leigh, York-Street, Covent-Garden; T. Becket, and T. Cadell, in the Strand; J. Walter, Charing-Cross; H. Denoyer, Lisle-Street; and J. Wilkie, No 71. St. Paul's Church-Yard, M.DCC.LXX. [1770].",London,277,female,1720,1800,False
0842900102_000003,"The mysteries of Udolpho, a romance; interspersed with some pieces of poetry. By Ann Radcliffe, ...",Ann Radcliffe,16,1794,2,4,"London : printed for G.G. and J. Robinson, 1794.",London,484,female,1764,1823,True
