Rank,Distance,Filename
1,0.74556893,K113915.001.00111.txt
2,0.86058676,K053415.002.00080.txt
3,0.86165214,K053415.001.00010.txt
4,0.87059385,K113915.002.00142.txt
5,0.8809091,K046227.000.00018.txt
6,0.89603305,K059867.003.00053.txt
7,0.91789955,K113518.000.00035.txt
8,0.9382498,K042690.000.00045.txt
9,0.9408885,K046227.000.00040.txt
10,0.94859874,K112156.000.00021.txt
11,0.94991773,K042690.000.00021.txt
12,0.9531969,K133021.000.00024.txt
13,0.9538094,K023456.002.00095.txt
14,0.9547876,K046227.000.00084.txt
15,0.9605545,K023456.002.00046.txt
16,0.96114504,K053415.001.00066.txt
17,0.9615296,K046227.000.00087.txt
18,0.96943724,K050351.000.00008.txt
19,0.9724732,K023456.001.00139.txt
20,0.97713745,K107483.002.00035.txt
21,0.97752285,K108263.000.00042.txt
22,0.9783841,K030565.001.00041.txt
23,0.9785814,K046227.000.00082.txt
24,0.9786209,K030995.000.00009.txt
25,0.98009664,K046227.000.00015.txt
26,0.9834235,K077848.002.00378.txt
27,0.9857222,K046227.000.00004.txt
28,0.9898901,K046227.000.00058.txt
29,0.9907584,K113914.000.00156.txt
30,0.9948533,K046227.000.00070.txt
31,0.99568236,K046227.000.00001.txt
32,0.996143,K042690.000.00019.txt
33,0.99913776,K133021.000.00009.txt
34,1.0003693,K113518.000.00034.txt
35,1.0042123,K053415.002.00033.txt
36,1.0045245,K053415.001.00080.txt
37,1.005251,K023456.002.00053.txt
38,1.0053973,K078029.000.00020.txt
39,1.0063978,K046227.000.00016.txt
40,1.0095382,K078029.000.00018.txt
41,1.0096617,K061280.000.00031.txt
42,1.0105634,K050268.000.00024.txt
43,1.0124943,K053415.002.00079.txt
44,1.0132904,K023456.002.00076.txt
45,1.0160465,K046227.000.00072.txt
46,1.017534,K023456.002.00052.txt
47,1.0211563,K046227.000.00083.txt
48,1.0219886,K046227.000.00057.txt
49,1.0231993,K042690.000.00022.txt
50,1.0248736,K053415.001.00030.txt
51,1.0258509,K113510.004.00052.txt
52,1.0264767,K108263.000.00001.txt
53,1.0276201,K023456.002.00023.txt
54,1.027891,K050262.000.00006.txt
55,1.02829,K046227.000.00002.txt
56,1.0285927,K046227.000.00086.txt
57,1.0310174,K053415.001.00068.txt
58,1.0325271,K108269.000.00113.txt
59,1.0335517,K021585.000.00024.txt
60,1.0339093,K113915.002.00187.txt
61,1.0346122,K113915.001.00048.txt
62,1.0348587,K108263.000.00019.txt
63,1.0356853,K135767.000.00010.txt
64,1.0359848,K113914.000.00151.txt
65,1.0380749,K108269.000.00053.txt
66,1.0384281,K113915.002.00107.txt
67,1.0388894,K133021.000.00019.txt
68,1.0393631,K030565.001.00040.txt
69,1.0420337,K042690.000.00002.txt
70,1.0420829,K046227.000.00010.txt
71,1.0441091,K042690.000.00006.txt
72,1.0462531,K077848.002.00162.txt
73,1.0464141,K023456.002.00140.txt
74,1.0497525,K046227.000.00026.txt
75,1.0510496,K046227.000.00074.txt
76,1.0523039,K046227.000.00075.txt
77,1.05394,K044643.000.00006.txt
78,1.0555323,K133021.000.00033.txt
79,1.055846,K113915.001.00159.txt
80,1.0564942,K096120.011.00105.txt
81,1.0569065,K042690.000.00061.txt
82,1.0586427,K021793.002.00167.txt
83,1.0611714,K113915.002.00140.txt
84,1.0622405,K134151.000.00028.txt
85,1.0630035,K108272.000.00011.txt
86,1.0633686,K104887.000.00142.txt
87,1.0643961,K090734.000.00017.txt
88,1.0649614,K040857.000.00039.txt
89,1.0654907,K042690.000.00018.txt
90,1.0671756,K023456.002.00051.txt
91,1.0677677,K006382.001.00167.txt
92,1.0679753,K046227.000.00005.txt
93,1.069163,K113915.002.00152.txt
94,1.0694593,K078029.000.00005.txt
95,1.0700946,K053357.000.00025.txt
96,1.0701942,K053415.001.00072.txt
97,1.070615,K053415.001.00071.txt
98,1.0712711,K134151.000.00012.txt
99,1.071717,K038048.000.00001.txt
100,1.0727321,K050360.000.00008.txt
