Rank,Distance,Filename
1,0.9071804,K003643.001.00028.txt
2,0.9204215,K109292.002.00048.txt
3,0.94487715,K002464.000.00070.txt
4,0.94728863,K096120.006.00002.txt
5,0.9493956,K098413.000.00008.txt
6,0.95225704,K109292.002.00052.txt
7,0.9550127,K109292.002.00053.txt
8,0.9560969,K003643.003.00197.txt
9,0.96247876,K002464.000.00069.txt
10,0.9646574,K041358.000.00075.txt
11,0.9648529,K003643.001.00044.txt
12,0.9690196,K074630.000.00062.txt
13,0.9788704,K022898.000.00068.txt
14,0.992409,K113952.010.00034.txt
15,0.99480414,K109292.002.00049.txt
16,0.9985347,K079641.002.00019.txt
17,0.9990888,K041358.000.00019.txt
18,1.0015424,K074629.000.00014.txt
19,1.0059466,K113606.001.00046.txt
20,1.0076979,K069755.000.00033.txt
21,1.0114968,K121574.000.00003.txt
22,1.0123256,K003643.003.00133.txt
23,1.014379,K110382.000.00006.txt
24,1.0152409,K003643.001.00040.txt
25,1.0162654,K003643.001.00038.txt
26,1.0173801,K003643.001.00027.txt
27,1.0204124,K109292.002.00047.txt
28,1.0213522,K019862.000.00052.txt
29,1.023015,K109292.002.00050.txt
30,1.024807,K107483.002.00171.txt
31,1.0264672,K035616.001.00111.txt
32,1.0271977,K107483.002.00235.txt
33,1.0285159,K093079.001.00007.txt
34,1.0286065,K113547.001.00103.txt
35,1.0305448,K041358.000.00074.txt
36,1.0356779,K111808.000.00002.txt
37,1.0363791,K003643.001.00029.txt
38,1.037514,K105560.000.00022.txt
39,1.0395887,K109292.002.00046.txt
40,1.0412549,K049221.001.00066.txt
41,1.0415437,K087079.000.00088.txt
42,1.0429454,K003643.003.00087.txt
43,1.0442688,K079641.002.00004.txt
44,1.044385,K053900.000.00240.txt
45,1.0454923,K003643.003.00084.txt
46,1.0457882,K041203.000.00003.txt
47,1.0489745,K098900.005.00076.txt
48,1.050338,K003643.001.00149.txt
49,1.0507056,K003643.003.00183.txt
50,1.0511701,K019862.000.00065.txt
51,1.0519392,K110382.000.00005.txt
52,1.0520749,K069755.000.00034.txt
53,1.0524931,K003643.001.00043.txt
54,1.0527592,K088722.000.00032.txt
55,1.0529246,K003643.001.00033.txt
56,1.0551944,K079648.000.00019.txt
57,1.0556726,K107811.002.00012.txt
58,1.0564053,K107740.000.00011.txt
59,1.0565805,K071066.001.00048.txt
60,1.0568194,K093080.001.00065.txt
61,1.0571023,K003643.001.00030.txt
62,1.0575004,K104099.006.00121.txt
63,1.0578479,K087416.000.00210.txt
64,1.0595512,K093080.005.00118.txt
65,1.062679,K073164.000.00012.txt
66,1.0630972,K099398.000.00039.txt
67,1.0632315,K095488.000.00089.txt
68,1.063575,K057370.000.00005.txt
69,1.0636134,K093079.002.00079.txt
70,1.0645118,K107084.000.00028.txt
71,1.0658139,K047462.000.00003.txt
72,1.0665897,K020101.000.00003.txt
73,1.0666302,K093080.004.00079.txt
74,1.0672219,K072424.000.00030.txt
75,1.0674345,K019862.000.00055.txt
76,1.0678909,K020101.000.00002.txt
77,1.0679901,K035616.003.00155.txt
78,1.0691268,K038460.000.00008.txt
79,1.0691308,K093660.004.00012.txt
80,1.0704787,K069956.001.00133.txt
81,1.0707252,K033915.000.00025.txt
82,1.0722775,K067329.000.00014.txt
83,1.0723956,K107811.002.00016.txt
84,1.0726228,K107303.000.00037.txt
85,1.0732512,K003643.001.00059.txt
86,1.0742481,K052227.006.00120.txt
87,1.0749456,K060328.000.00018.txt
88,1.075214,K030565.002.00051.txt
89,1.078269,K077663.000.00008.txt
90,1.0788863,K113187.003.00400.txt
91,1.0793537,K070844.001.00121.txt
92,1.0807188,K107811.002.00004.txt
93,1.0808036,K041358.000.00029.txt
94,1.0808296,K019862.000.00049.txt
95,1.0810452,K098413.000.00306.txt
96,1.0810611,K003643.001.00035.txt
97,1.0810888,K038460.000.00006.txt
98,1.0825478,K076314.000.00063.txt
99,1.0833858,K019862.000.00031.txt
100,1.0835451,K003643.001.00041.txt
