PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0363800203_000041,The works of David Mallet Esq; in three volumes.,David Mallet,72,1759,3,3,"London : printed for A. Millar, and P. Vaillant, in the Strand, MDCCLIX. [1759].",London,236,male,1705,1765,False
0386000501_000071,"Essays moral and literary. By Vicesimus Knox, M.A.",Vicesimus Knox,57,1784,1,2,"London : printed for Charles Dilly, 1784.",London,372,male,1752,1821,True
0548700100_000017,"An introduction to astronomy. In a series of letters, from a preceptor to his pupil. In which the most useful and interesting Parts of the Science are clearly and familiarly explained. Illustrated with copper-plates. By John Bonnycastle, Of the Royal Military Academy, Woolwich. The Second Edition, Corrected and Improved.",John Bonnycastle,61,1787,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, MDCCLXXXVII. [1787].",London,481,male,1751,1821,False
0557200101_000071,"Essays moral and literary. By Vicesimus Knox, ... In three volumes. ...",Vicesimus Knox,59,1793,1,3,"London : printed for Charles Dilly, 1793.",London,501,male,1752,1821,True
0252400700_000057,"On the importance of religious opinions. From the French of Mons. Necker. A new translation, to which is prefixed a short account of the author.",Jacques Necker,70,1789,1,1,"Edinburgh : printed for W. Gordon and J. Dickson, M,DCC,LXXXIX. [1789].",Edinburgh,384,male,1732,1804,False
0220001900_000037,"A plea for the divinity of our Lord Jesus Christ. In a pastoral letter addressed to a congregation of protestant dissenters, at Cambridge.",Robert Robinson,65,1776,1,1,"Cambridge : printed by and for Fletcher and Hodson: sold by G. Keith, in Gracechurch-Street; E. and C. Dilly, in the Poultry; J. Buckland, and S. Crowder, Paternoster-Row, London, M.DCC.LXXVI. [1776].",Cambridge,110,male,1735,1790,False
1098300303_000002,The rambler. In four volumes. ...,Samuel Johnson,51,1779,3,4,"London : printed for W. Strahan, J. Rivington and Sons, J. Hinton, B. Collins, T. Longman, T. Caslon, B. Law, T. Carnan, G. Robinson, T. Lowndes, T. Cadell, H. Baldwin, F. Newbery, J. Knox, J. Bew, J. Nichols, W. Goldsmith, and W. Fox, MDCCLXXIX. [1779].",London,324,male,1709,1784,True
0133300202_000072,"The history of ancient Greece, its colonies, and conquests; from the earliest accounts till the division of the Macedonian Empire in the east Including the History of Literature, Philosophy, and the Fine Arts. By John Gillies, L L. D. F. A. S.",John Gillies,55,1790,2,5,"Basil : printed for J. J. Tourneisen; and J. L. Legrand, MDCCXC. [1790].",Basel,408,male,1747,1836,False
0827800201_000005,"The travels of Cyrus. In two volumes. To which is annex'd, A discourse upon the theology and mythology of the pagans. By the Chevalier Ramsay. ...",Andrew Michael Ramsay,74,1730,1,2,"London : printed: and sold by T. Woodward, at the Half-Moon over-against St. Dunstan's Church, Fleet-Street; and J. Peele, at Locke's-Head in Pater-Noster Row, MDCCXXX. [1730].",London,386,male,1686,1743,True
1172900200_000005,"The travels of Cyrus. To which is annexed, A discourse upon the theology and mythology of the pagans. By the Chevalier Ramsay.",Andrew Michael Ramsay,79,1763,1,1,"London : printed by James Bettenham: and sold by L. Hawes, W. Clarke, and R. Collins, in Pater-Noster Row, M.DCC.LXIII. [1763].",London,385,male,1686,1743,True
0137700600_000032,"The life of Francis Bacon, Lord Chancellor of England. By David Mallet, Esq;",David Mallet,68,1768,1,1,"London, MDCCLXVIII [1768.].",London,202,male,1705,1765,False
0097200101_000027,"The works of Francis Bacon, Baron of Verulam, Viscount St. Alban, Lord High Chancellor of England. In four volumes. With several additional pieces, never before printed in any edition of his works. To which is prefixed, a new life of the author, by Mr. Mallet.",Francis Bacon,69,1740,1,4,"London : printed for A. Millar, against St. Clement's Church, in the Strand, M.DCC.XL. [1740].",London,644,male,1561,1626,True
0106700301_000071,"Essays moral and literary. By Vicesimus Knox, M. A. Late Fellow of St. John's College, Oxford. In three volumes. ...",Vicesimus Knox,55,1787,1,3,"London : printed for Charles Dilly, MDCCLXXXVII. [1787].",London,501,male,1752,1821,True
0995901600_000016,"A discourse on the study of the law of nature and nations; introductory to a course of lectures on that science, Delivered in Lincoln's Inn Hall, in the Years 1799 and 1800, In Pursuance Of AN Order Of The Honourable Society Of Lincoln's Inn. Third edition, corrected and enlarged. By James Mackintosh, Esq. Of Lincoln's Inn, Barrister At Law.",James Mackintosh,68,1800,1,1,"London : printed [by S. Gosnell] for T. Cadell, Jun. and W. Davies , In The Strand ; J. Debrett , Piccadilly ; and W. Clarke, Portugal Street, Lincoln's Inn, 1800.",London,74,male,1765,1832,False
0522600200_000014,"Advice to a student in the university, concerning the qualifications and duties of a minister of the Gospel in the Church of England. By John Napleton, D. D. Canon residentiary of Hereford, chaplain to the Lord Bishop of Hereford.","Napleton, John",49,1795,1,1,"Oxford : printed for Fletcher and Hanwell; sold by Mess. Rivington, London, MDCCXCV. [1795].",Oxford,155,male,1738,1817,False
0410300500_000001,"The rule of life: in select sentences, collected from the greatest authors, antient and modern.",,57,1758,1,1,"London : printed for J. Hinton, at the King's-Arms, in Newgate-Street, M.DCC.LVIII. [1758].",London,309,unknown,,,False
1124300101_000174,"The history of ancient Greece, its colonies and conquests; from the earliest accounts, till the division of the Macedonian Empire in the East. ... In three volumes. ... By John Gillies, LL.D.",John Gillies,56,1786,1,3,"Dublin : printed for Messrs. Burnet, Colles, Moncrieffe, Exshaw, White, [and 6 others in Dublin], 1786.",Dublin,608,male,1747,1836,False
0548700100_000025,"An introduction to astronomy. In a series of letters, from a preceptor to his pupil. In which the most useful and interesting Parts of the Science are clearly and familiarly explained. Illustrated with copper-plates. By John Bonnycastle, Of the Royal Military Academy, Woolwich. The Second Edition, Corrected and Improved.",John Bonnycastle,59,1787,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, MDCCLXXXVII. [1787].",London,481,male,1751,1821,False
1756000101_000029,"The works of Francis Bacon, Baron of Verulam, ... In five volumes. ...",Francis Bacon,68,1778,1,5,"London : printed for J. Rivington and Sons; L. Davis; T. Payne; B. White; T. Davies; [and 6 others in London], 1778.",London,624,male,1561,1626,True
1175500200_000001,An essay on the investigation of the first principles of nature: together with the application thereof to solve the phænomena of the physical system. Part I. Containing a new philosophical theory; ... By Felix O'Gallagher.,"O'Gallagher, Felix",73,1784,1,1,"London : printed for J. Murray, 1784.",London,400,unknown,,,False
0814100100_000005,"The travels of Cyrus. To which is annexed, A discourse upon the theology and mythology of the pagans. By the Chevalier Ramsay.",Andrew Michael Ramsay,82,1752,1,1,"London : printed by James Bettenham: and sold by C. Hitch and L. Hawes, at the Red Lion in Pater-Noster-Row, M.DCC.LII. [1752].",London,387,male,1686,1743,True
0125500202_000054,Sermons on practical subjects; by the Rev. Philip Holland. In two volumes. ...,"Holland, Philip",68,1792,2,2,"Warrington : printed by W. Eyres, and sold by J. Johnson, St. Paul's Church-Yard, London, J. Haslingden and I. Clarke, Manchester, S. Crane, Liverpool, and Kay, Bolton, MDCCXCII. [1792].",Warrington,436,male,1721,1789,False
0800900201_000126,"Historia litteraria: or, an exact and early account of the most valuable books published in the several parts of Europe. ... . With a compleat alphabetical index.",,84,1731,1,4,"London : printed for N. Prevost, over-against Southampton-Street in the Strand; and E. Symon, in Cornhill, M.DCC.XXXI. [1731] [i.e. 1731-34].",London,564,unknown,,,False
0707101400_000003,"An essay tending to prove that Christianity has promoted the happiness of man, as an intellectual, moral and social being.",,51,1800,1,1,"Cambridge : printed by M. Watson; Angel Inn Yard. And sold by J. Deighton, J. Nicholson, and O. Gregory: by Mathews, Strand; Button, Paternoster-Row, and W. H. Lunn, Oxford-Street, London, 1800.",Cambridge,96,unknown,,,False
