PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0004900300_000002,"The history civil and commercial, of the British colonies in the West Indies. To which is added, an historical survey of the French colony in the island of St. Domingo. Abridged from The history written by Bryan Edwards Esq. Illustrated With A Map.",Bryan Edwards,63,1798,1,1,"London : printed for B. Crosby, Stationer's Court; for Mundell & Son, Edinburgh; and J. Mundell, College, Glasgow, 1798.",London,442,male,1743,1800,False
0606000402_000011,"The history, civil and commercial, of the British colonies in the West Indies. In two volumes. By Bryan Edwards, ...",Bryan Edwards,58,1793,2,2,"Dublin : Luke White, 1793.",Dublin,493,male,1743,1800,False
0452802600_000006,"Observations on the project for abolishing the slave trade, and on the reasonableness of attempting some practicable mode of relieving the negroes. By John Lord Sheffield.","John Baker Holroyd, 1st Earl of Sheffield",54,1791,1,1,"London : printed by J. Cooper, Bow Street, Covent Garden, for J. Debrett, opposite Burlington House, Piccadilly, M.DCC.XCI. [1791].",London,75,male,1735,1821,False
1156000300_000011,"Slavery inconsistent with the spirit of Christianity. A sermon preached at Cambridge, On Sunday, Feb. 10, 1788, By Robert Robinson.",Robert Robinson,51,1788,1,1,"Cambridge : printed by J. Archdeacon Printer to the University; and sold by Bowtell, and Cowper, Cambridge; and by Dilly, London, MDCCLXXXVIII. [1788].",Cambridge,38,male,1735,1790,False
0151104400_000006,"Substance of the speech of His Royal Highness the Duke of Clarence, in the House of Lords, on the motion for the recommitment of the slave trade limitation bill, on the fifth day of July, 1799. (published at the Request of the West India Merchants and Planters, and the Mercantile Interest of Liverpool.)",Great Britain. Parliament. House of Lords,61,1799,1,1,"London : printed by C. Whittingham, Dean Street, Fetter Lane; and sold by F. and C. Rivington, St. Paul's Church Yard, [1799].",London,70,unknown,,,False
0072002600_000028,A review of the principal proceedings of the Parliament of 1784.,,74,1785,1,1,"London : [ printed for J. Stockdale, and ] R. Edwards, No. 142, New Bond Street, [1785?].",London,179,unknown,,,False
0072002600_000027,A review of the principal proceedings of the Parliament of 1784.,,60,1785,1,1,"London : [ printed for J. Stockdale, and ] R. Edwards, No. 142, New Bond Street, [1785?].",London,179,unknown,,,False
0316501100_000076,"The african slave trade: or a short view of the evidence, relative to that subject, produced before the House of Commons, Interspersed with such Remarks as naturally flowed from it. All meant to evince the sound policy and moral obligation of its immediate and entire abolition: As Also, Of adopting such measures as may ascertain Liberty to the present Slaves in due time.",Niel Douglas,61,1792,1,1,"Edinburgh : published by J. Guthrie, No 2. Nicolson-Street; and sold by the principal Booksellers in Town and Country, M.DCC.XCII. [1792].",Edinburgh,209,male,1750,1823,False
0163100204_000033,"The history of the reign of George the Third, king of Great Britain, &c. from the conclusion of the seventh session of the sixteenth Parliament, in 1790, to the End of the Sixth Session of the Seventeenth Parliament of Great Britain, in 1796. By Robert Macfarlan, Esq. Vol.IV.",Robert Macfarlan,43,1796,4,4,"London : printed for the author, and sold by T. Evans, in Paternoster-Row, MDCCXCVI. [1796].",London,661,male,1734,1804,False
1286200800_000031,"A reply to the personal invectives and objections contained in two answers, published by certain anonymous persons, to an essay on the treatment and conversion of African slaves, in the British colonies, by James Ramsay, M. A. Vicar of Teston.",James Ramsay,53,1785,1,1,"London : printed and sold by James Phillips, in George-Yard, Lombard-Street, M CD Clxxxv [1785].",London,143,male,1733,1789,False
