PassageID,Title,Author,Total termFreq,Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0417500101_000021,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,28,1796,1,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,429,male,1718,1800,True
1128700101_000021,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,29,1783,1,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert, Walker, Exshaw, White, Beatty, Burton, Byrne, Parker, and Cash, M,DCC,LXXXIII. [1783].",Dublin,435,male,1718,1800,True
0504100101_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In two volumes. ...",Hugh Blair,44,1783,1,2,"London : printed for W. Strahan; T. Cadell; and W. Creech, in Edinburgh, 1783.",London,507,male,1718,1800,True
1291300101_000021,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...",Hugh Blair,28,1789,1,2,"Dublin : printed for Messrs. Colles, Moncrieffe, Gilbert, Walker, Exshaw, White and Byrne, M,DCC,LXXXIX [1789].",Dublin,393,male,1718,1800,True
0225900601_000021,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,26,1788,1,3,"Basil : printed by J. J. Tourneisen, 1788.",Basel,417,male,1718,1800,True
0417500101_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,41,1796,1,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,429,male,1718,1800,True
0937200401_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,39,1793,1,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1793.",London,468,male,1718,1800,True
1167401301_000175,"The Scientific magazine, and Freemasons' repository, for ...",,34,1797,1,2,"London [England] : printed and published by George Cawthorn, British Library, No. 132, Strand; and sold by Symonds, Paternoster-Row; and may be had of all the booksellers and newscarriers in town and country, [1797]-",London,476,unknown,,,False
0291500500_000058,"Strictures, critical and sentimental, on Thomson's seasons; with hints and observations on collateral subjects. By J. More.","More, John           1777           fl. 1777",25,1777,1,1,"London : printed for Richardson and Urquhart, Under the Royal Exchange, MDCCLXXVII. [1777].",London,287,unknown,,,False
0957700301_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,37,1790,1,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1790.",London,468,male,1718,1800,True
